kode_alternatif,kode_unor,unor,kode_jabatan,nama_jabatan,jenis_jabatan,abk,eksisting_asn,eksisting_non_asn,kebutuhan_ideal,pensiun_5th,kebutuhan_prioritas_unor,rasio_kebutuhan_unor,rasio_norm,nilai_jabatan,rasio_pemenuhan_unor,skala_keb_prioritas
A11,OPD-07,BAGIAN PROTOKOL DAN KOMUNIKASI PIMPINAN,JP-13,PENGELOLA SIARAN,PELAKSANA,3,0,0,3,0,1,0.333333333,0.333333333,1,0.565217391,2
A12,OPD-08,DINAS KESEHATAN,JFK-01,ADMINISTRATOR KESEHATAN AHLI PERTAMA,FUNGSIONAL KESEHATAN,10,0,0,10,0,4,0.4,0.4,3,0.634730539,4
A13,OPD-08,DINAS KESEHATAN,JFK-18,ENTOMOLOG KESEHATAN AHLI PERTAMA,FUNGSIONAL KESEHATAN,2,1,0,1,0,1,0.5,0.5,3,0.634730539,3
A14,OPD-08,DINAS KESEHATAN,JFK-19,ENTOMOLOG KESEHATAN TERAMPIL,FUNGSIONAL KESEHATAN,2,0,0,2,0,1,0.5,0.5,3,0.634730539,3
A15,OPD-08,DINAS KESEHATAN,JFK-25,PENYULUH KESEHATAN MASYARAKAT AHLI PERTAMA,FUNGSIONAL KESEHATAN,3,2,1,0,0,1,0.333333333,0.333333333,3,0.634730539,2
A16,OPD-08,DINAS KESEHATAN,JP-03,OPERATOR LAYANAN OPERASIONAL,PELAKSANA,17,0,9,8,0,1,0.058823529,0.058823529,1,0.634730539,4
A17,OPD-08,DINAS KESEHATAN,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,18,12,2,4,3,1,0.055555556,0.055555556,1,0.634730539,3
A18,OPD-08,DINAS KESEHATAN,JP-12,PENGELOLA LAYANAN OPERASIONAL,PELAKSANA,1,0,1,0,0,1,1,1,1,0.634730539,4
A19,OPD-08,DINAS KESEHATAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,46,31,8,7,2,5,0.108695652,0.108695652,1,0.634730539,3
A20,OPD-09,DINAS KETAHANAN PANGAN DAN PERTANIAN,JP-11,PENGELOLA LAYANAN KELAUTAN DAN PERIKANAN,PELAKSANA,5,3,0,2,0,1,0.2,0.2,1,0.674698795,3
