kode_alternatif,kode_unor,unor,kode_jabatan,nama_jabatan,jenis_jabatan,abk,eksisting_asn,eksisting_non_asn,kebutuhan_ideal,pensiun_5th,kebutuhan_prioritas_unor,rasio_kebutuhan_unor,rasio_norm,nilai_jabatan,rasio_pemenuhan_unor,skala_keb_prioritas
A72,OPD-30,KELURAHAN JAMSAREN,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,2,1,0,1,0,1,0.5,0.5,1,0.625,3
A73,OPD-30,KELURAHAN JAMSAREN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,1,1,4,0,4,0.666666667,0.666666667,1,0.625,4
A74,OPD-31,KELURAHAN KALIOMBO,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,2,0,1,1,0,1,0.5,0.5,1,0.875,4
A75,OPD-31,KELURAHAN KALIOMBO,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,5,0,1,0,1,0.166666667,0.166666667,1,0.875,2
A76,OPD-32,KELURAHAN KAMPUNGDALEM,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,4,3,0,1,1,1,0.25,0.25,1,1,2
A77,OPD-33,KELURAHAN KEMASAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,4,1,0,3,0,3,0.75,0.75,1,0.692307692,3
A78,OPD-34,KELURAHAN KETAMI,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,1,2,3,0,3,0.5,0.5,1,0.6875,3
A79,OPD-35,KELURAHAN MANISRENGGO,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,5,2,1,2,1,1,0.2,0.2,1,0.8125,3
A80,OPD-36,KELURAHAN MRICAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,4,0,2,2,1,0.166666667,0.166666667,1,0.75,3
A81,OPD-37,KELURAHAN NGAMPEL,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,2,1,3,0,2,0.333333333,0.333333333,1,0.75,2
A82,OPD-38,KELURAHAN NGLETIH,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,4,1,1,2,0,2,0.5,0.5,1,0.714285714,2
A83,OPD-39,KELURAHAN PAKELAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,4,1,2,1,0,1,0.25,0.25,1,0.769230769,2
A84,OPD-40,KELURAHAN PAKUNDEN,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,1,0,0,1,0,1,1,1,1,0.625,2
A85,OPD-40,KELURAHAN PAKUNDEN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,3,0,3,0,1,0.166666667,0.166666667,1,0.625,2
A86,OPD-41,KELURAHAN PESANTREN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,2,2,2,0,1,0.166666667,0.166666667,1,0.8,3
A87,OPD-42,KELURAHAN POCANAN,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,3,0,1,2,0,1,0.333333333,0.333333333,1,0.692307692,4
A88,OPD-42,KELURAHAN POCANAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,4,1,0,3,1,3,0.75,0.75,1,0.692307692,2
A89,OPD-43,KELURAHAN POJOK,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,5,0,1,3,2,0.333333333,0.333333333,1,0.8125,2
A90,OPD-44,KELURAHAN RINGINANOM,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,1,0,0,1,0,1,1,1,1,0.692307692,3
A91,OPD-44,KELURAHAN RINGINANOM,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,4,0,1,3,0,3,0.75,0.75,1,0.692307692,3
A92,OPD-45,KELURAHAN SEMAMPIR,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,0,2,4,0,3,0.5,0.5,1,0.625,2
A93,OPD-46,KELURAHAN SETONOGEDONG,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,1,0,0,1,0,1,1,1,1,0.769230769,2
A94,OPD-46,KELURAHAN SETONOGEDONG,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,4,3,0,1,1,1,0.25,0.25,1,0.769230769,4
A95,OPD-47,KELURAHAN SINGONEGARAN,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,2,0,0,2,0,2,1,1,1,0.625,2
A96,OPD-47,KELURAHAN SINGONEGARAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,4,0,2,0,2,0.333333333,0.333333333,1,0.625,3
A97,OPD-48,KELURAHAN SUKORAME,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,2,0,1,1,0,1,0.5,0.5,1,0.75,4
A98,OPD-48,KELURAHAN SUKORAME,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,6,3,1,2,1,2,0.333333333,0.333333333,1,0.75,4
A99,OPD-49,KELURAHAN TINALAN,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,2,0,0,2,0,2,1,1,1,0.75,4
